2025-09-20 09:58:46,364 INFO opc_project.opcua_server: Arranque servidor en opc.tcp://127.0.0.1:4841 exitoso
2025-09-20 10:33:07,701 INFO opc_project.opcua_server: Arrancando OpcServer v0.1.0 en opc.tcp://127.0.0.1:4841
2025-09-20 10:33:07,705 WARNING opc_project.opcua_server: Intento 1/3 falló: 'OpcServer' object has no attribute '_idx'
2025-09-20 10:33:08,708 WARNING opc_project.opcua_server: Intento 2/3 falló: 'OpcServer' object has no attribute '_idx'
2025-09-20 10:33:10,711 ERROR opc_project.opcua_server: Error al arrancar a opc.tcp://127.0.0.1:4841 tras 3 intentos
2025-09-20 10:33:37,546 INFO opc_project.opcua_server: Arrancando OpcServer v0.1.0 en opc.tcp://127.0.0.1:4841
2025-09-20 10:33:37,548 WARNING opc_project.opcua_server: Intento 1/3 falló: 'OpcServer' object has no attribute '_idx'
2025-09-20 10:33:38,549 WARNING opc_project.opcua_server: Intento 2/3 falló: 'OpcServer' object has no attribute '_idx'
2025-09-20 10:33:40,551 ERROR opc_project.opcua_server: Error al arrancar a opc.tcp://127.0.0.1:4841 tras 3 intentos
2025-09-20 10:35:39,300 INFO opc_project.opcua_server: Arrancando OpcServer v0.1.0 en opc.tcp://127.0.0.1:4841
2025-09-20 10:35:39,303 WARNING opc_project.opcua_server: Intento 1/3 falló: 'OpcServer' object has no attribute '_idx'
2025-09-20 10:35:40,304 WARNING opc_project.opcua_server: Intento 2/3 falló: 'OpcServer' object has no attribute '_idx'
2025-09-20 10:35:42,307 ERROR opc_project.opcua_server: Error al arrancar a opc.tcp://127.0.0.1:4841 tras 3 intentos
2025-09-20 10:36:40,422 INFO opc_project.opcua_server: Arrancando OpcServer v0.1.0 en opc.tcp://127.0.0.1:4841
2025-09-20 10:36:40,424 WARNING opc_project.opcua_server: Intento 1/3 falló: 'OpcServer' object has no attribute '_idx'
2025-09-20 10:36:41,425 WARNING opc_project.opcua_server: Intento 2/3 falló: 'OpcServer' object has no attribute '_idx'
